Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
sidisaad,سيدي سعـــد,0.0124396,20,0.0,29.4106,0.0373422,2.09244,0.0,0.942972,7.94621,21.0106,23.5765,57.4933,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2022-01-04 00:00:00
elhaouareb,هـــــــوارب,0.00268182,21,0.0,0.300336,0.0102803,0.521507,0.0,0.03582,2.40507,7.28744,7.85099,1.81299,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2022-01-04 00:00:00
sficifa,سفيسيفة,0.0,22,0.0,1.7642,0.0,0.126174,0.0,0.0,17.443,0.183851,26.5507,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2022-01-04 00:00:00
sidiach,سيدي يعيــــش,0.000905625,23,0.0,1.337,0.00543375,0.685656,0.0,0.202,0.0295391,0.0,1.39236,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2022-01-04 00:00:00
elbrek,البــــــــرك,0.00049605,24,0.0,0.07,0.00204621,0.605729,0.0,0.0,0.21066,0.456203,1.31518,0.09,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2022-01-04 00:00:00
bezirk,بزيـــــــغ,0.000260103,25,0.0,1.7858,0.00155195,1.35449,0.0,0.221,0.743096,0.583281,2.31199,1.51,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2022-01-04 00:00:00
chiba,شيبـــــــة,0.0,26,0.0,0.92252,0.00168095,1.01142,0.0,0.053721,1.11056,0.228939,3.05862,1.20652,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2022-01-04 00:00:00
masri,مصــــــري,0.00102999,27,0.0,5.11403,0.00358101,0.320887,0.0,0.344165,0.629791,0.393641,2.10106,5.07465,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2022-01-04 00:00:00
lebna,لبنــــــــة,0.0,28,0.007,7.02176,0.0086171,3.33105,0.026,0.701967,3.68089,2.38973,7.78132,12.6117,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2022-01-04 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.728727,0.0,0.0875709,0.0,0.0,0.402662,1.68227,2.61666,2.19623,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2022-01-04 00:00:00
abid,العبيـــــــد,0.000478735,30,0.0,3.41309,0.00131697,2.72849,0.0,0.1213,0.684393,0.635346,2.71011,4.15124,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2022-01-04 00:00:00
mellegue,مـــــلاق,0.0,1,0.02,15.0349,0.0,12.0899,0.06,2.731,12.5785,26.2776,86.4466,15.3655,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2022-01-03 00:00:00
sarrat,سراط,0.0,36,0.0,8.25629,0.00344753,6.55836,0.0,2.79526,0.775,,8.824,,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2022-01-03 00:00:00
benmetir,بنيمطيــر,0.0,2,0.06048,14.27,0.0,9.55842,0.18144,3.49589,9.80926,8.28842,11.035,23.0579,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2022-01-03 00:00:00
kasseb,كســاب,0.0358703,3,0.07776,27.3602,0.173472,13.446,0.23328,10.4285,8.23838,11.9165,12.1133,36.9223,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2022-01-03 00:00:00
barbara,بربرة,0.038223,4,0.0,47.1149,0.0806038,22.2487,0.0,13.7711,18.4614,24.2679,23.5433,64.2145,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2022-01-03 00:00:00
sidisalem,سيدي ســــالم,0.340917,5,0.34526,127.583,1.24313,59.2351,1.03578,57.1072,84.6304,63.0768,76.323,261.555,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2022-01-03 00:00:00
bouheurtma,بو هرتمـــــه,0.0587134,6,0.017,26.8387,0.175005,17.8294,0.051,17.7724,13.8111,15.0124,19.8397,30.4795,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2022-01-03 00:00:00
joumine,جوميــــــن,0.140693,7,0.09609,51.1296,0.388021,33.3518,0.292652,12.7618,16.9966,15.3609,18.1726,39.3959,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2022-01-03 00:00:00
ghezala,غزالـــــــة,0.0314731,8,0.0,7.94316,0.092794,4.11561,0.0,0.6515,2.15148,0.732887,1.96006,4.97992,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2022-01-03 00:00:00
melah,المالح,0.0204823,33,0.0,15.616,0.112961,12.9496,0.0,0.0,4.37,3.61737,7.5629,13.3872,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2022-01-03 00:00:00
tine,الطين,0.0206405,34,0.0,5.4088,0.0234399,2.38995,0.0,0.01318,3.32,,7.24129,8.709,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2022-01-03 00:00:00
sejnane,سجنــــــان,0.169068,9,0.753002,122.297,0.559679,79.9903,2.258,91.6182,28.3149,61.136,37.398,106.475,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2022-01-03 00:00:00
zarga,الزرقة,3.80562e-05,10,0.0114,17.375,3.80562e-05,7.48448,0.046,2.583,5.37,4.34092,7.15968,16.777,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2022-01-03 00:00:00
kebir,الكبير,0.00436248,31,0.0,3.98,0.0170867,9.05,0.0,10.598,6.45991,8.94712,13.3428,6.2128,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2022-01-03 00:00:00
moula,المولى,0.0,32,0.0,26.2508,0.00257237,8.01462,0.0,6.181,6.04198,8.58743,13.1396,26.3083,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2022-01-03 00:00:00
selbarrak,سيدي البــــراق,0.15425,11,0.7668,286.827,0.998444,149.291,1.5624,54.7945,67.1137,91.3606,85.2932,247.224,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2022-01-03 00:00:00
ziatine,الزياتين,0.0,12,0.009123,26.2776,0.0244524,13.5589,0.029598,4.41868,8.35,7.41933,10.2581,25.4236,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2022-01-03 00:00:00
gamgoum,القمقوم,0.00209334,13,0.0,17.4073,0.0185058,7.22621,0.0,6.3555,1.37065,4.80404,2.59455,17.8083,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2022-01-03 00:00:00
harka,الحركة,0.0,35,0.0,30.1856,0.00670881,12.0302,0.0,7.39714,5.48,,9.99032,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2022-01-03 00:00:00
siliana,سليانـــــــة,0.00329345,14,0.0,2.74849,0.00872763,1.7577,0.0,0.0,5.60697,8.84317,13.1133,10.3958,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2022-01-03 00:00:00
lakhmess,لخمـــــــاس,0.00068527,15,0.0,1.32944,0.00182739,0.268738,0.0,0.169814,1.58171,1.03009,4.58869,3.23877,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2022-01-03 00:00:00
rmil,الرميـــــــل,0.00229149,16,0.005004,0.6352,0.00324196,0.395396,0.005004,0.045769,1.39077,1.31819,4.33328,1.3357,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2022-01-03 00:00:00
birmcherga,بئر المشارقـــة,0.00737583,17,0.004,22.1499,0.0245281,1.82615,0.012,0.5,4.52433,7.8781,10.5098,33.3204,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2022-01-03 00:00:00
rmel,الرمــــــل,0.0019499,18,0.0,0.963022,0.00566689,0.50241,0.0,0.0,2.42798,5.06045,9.23122,5.97856,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2022-01-03 00:00:00
nebhana,نبهانــــــة,0.00109315,19,0.0,1.5701,0.00350179,0.118315,0.0,0.0,3.34326,3.52627,9.31355,7.9886,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2022-01-03 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0,29.4106,0.0249026,2.08,0.0,0.942972,7.94621,21.0106,23.3202,57.5929,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2022-01-03 00:00:00
elhaouareb,هـــــــوارب,0.00223485,21,0.0,0.300336,0.00759849,0.518825,0.0,0.03582,2.40507,7.28744,7.77341,1.84422,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2022-01-03 00:00:00
